distance,cargo_type,driver_exp,hour_of_day,is_weather_bad,risk_score
548.96,2,47,1,0,78
883.55,0,21,17,0,41
166.13,1,122,15,1,48
60.45,2,126,3,0,56
1925.67,2,176,7,0,69
1673.6,0,51,1,0,68
1394.99,0,78,13,0,43
823.82,0,128,14,0,29
354.86,2,65,8,1,67
321.31,0,63,1,0,42
507.98,0,7,16,0,42
1102.96,0,213,9,0,29
1432.05,0,24,8,0,60
1323.79,0,193,1,0,43
567.07,2,200,23,0,54
1910.18,0,200,18,0,41
1478.41,0,204,16,0,28
1113.16,0,197,10,0,31
1227.32,0,93,16,1,48
845.0,0,206,9,0,27
502.98,0,178,17,0,23
718.39,0,180,22,0,38
1518.11,0,14,5,1,81
38.64,0,177,15,0,11
240.98,0,198,17,0,11
101.55,2,121,19,0,36
91.05,2,74,17,0,51
1712.37,0,103,0,0,65
1410.28,0,37,2,1,88
953.61,2,167,14,1,65
204.69,0,193,19,0,14
988.32,1,114,9,0,54
952.21,2,239,20,0,60
354.67,0,38,4,1,69
873.36,0,201,14,0,23
803.02,2,107,22,0,71
1235.54,0,16,13,0,53
1273.84,0,134,14,0,37
100.15,0,117,9,0,13
755.48,0,231,23,0,39
1255.46,1,38,8,0,66
1011.24,1,195,11,0,44
1714.41,2,34,6,0,95
1320.8,0,50,4,0,65
334.24,0,46,23,0,55
150.43,0,35,9,0,29
1288.41,0,63,7,0,48
62.76,0,94,21,1,28
1175.69,2,216,19,0,56
1881.06,2,104,15,0,76
1155.19,0,12,11,0,53
782.46,1,145,8,0,42
1290.14,0,148,9,0,31
921.92,0,111,15,0,37
1095.78,1,64,9,0,54
1883.51,0,227,8,0,48
778.34,2,7,2,1,100
1922.77,1,47,18,1,90
1811.65,0,84,10,1,61
399.62,1,42,5,0,60
148.03,0,180,5,1,43
210.55,0,84,14,0,21
46.26,0,154,14,0,14
197.94,0,18,12,0,36
1369.18,1,22,21,0,64
151.67,0,114,4,1,51
644.76,1,49,13,0,52
1691.3,0,178,20,0,39
56.31,0,42,1,0,48
1630.79,1,98,22,1,86
570.89,0,103,11,0,23
245.15,0,115,19,1,36
1396.51,0,50,13,0,44
1261.6,0,105,18,0,37
1756.17,0,111,23,0,66
1472.79,1,196,19,0,50
1608.93,0,168,14,0,32
571.25,0,71,19,0,33
363.1,2,138,23,0,56
1503.72,0,79,16,0,45
1615.6,2,230,13,0,77
1981.11,0,238,22,0,61
831.11,0,215,17,0,23
750.32,2,212,21,0,51
1555.06,0,179,23,0,51
688.2,1,150,4,0,49
1862.21,0,48,21,0,60
1718.24,0,165,11,0,42
863.7,0,46,9,0,46
1504.23,0,71,7,1,70
1511.54,2,6,5,0,100
215.22,0,65,14,1,46
1806.08,2,221,11,0,70
1015.45,2,76,5,0,84
1654.65,0,61,11,0,56
646.9,0,214,14,1,29
1792.09,2,156,11,0,68
784.51,2,37,8,0,73
31.57,0,124,18,1,26
1811.71,0,228,20,0,40
191.66,0,83,1,0,39
645.43,1,160,12,0,37
1900.62,0,28,12,0,61
1901.71,1,113,7,0,64
1151.14,0,78,12,0,44
1267.36,0,22,3,0,60
902.41,0,105,5,0,48
593.49,0,130,5,0,37
664.04,0,100,20,0,23
1348.31,0,220,11,0,35
1507.23,0,172,11,0,37
1585.24,0,7,16,0,62
1581.34,0,85,6,0,65
191.5,2,116,14,0,45
993.9,0,28,23,0,59
124.54,0,1,16,1,54
1103.56,0,232,9,0,32
888.65,2,112,22,0,67
1776.53,0,177,19,0,44
708.32,1,236,5,0,51
242.96,1,64,8,1,61
294.55,1,107,14,0,37
1525.41,0,19,15,0,57
1240.25,1,179,20,0,48
211.23,0,212,7,0,12
177.37,0,36,15,0,36
1404.93,1,71,4,0,82
154.8,0,26,17,0,31
1645.5,1,174,19,0,53
1415.42,0,122,13,0,37
171.88,1,226,1,0,44
178.83,0,133,22,0,36
1973.41,0,187,22,0,52
754.8,0,44,2,1,65
747.58,2,171,13,0,47
1627.47,0,82,6,1,80
1895.02,0,145,14,0,40
1972.14,0,119,16,0,50
1509.22,1,64,0,0,77
758.76,0,24,8,0,42
176.17,0,26,21,1,53
1556.52,0,134,13,1,53
1121.22,0,171,15,0,28
854.2,0,105,20,0,32
1813.65,0,156,12,0,46
231.28,1,222,5,1,58
990.32,0,43,21,0,42
32.59,0,106,0,0,35
942.63,0,35,20,0,48
122.04,2,146,3,0,57
246.45,2,5,2,0,78
243.88,1,152,16,0,31
1301.93,0,158,1,1,65
1494.63,0,8,18,0,60
1170.9,0,211,19,0,35
1924.72,0,201,22,0,61
755.99,0,164,21,0,30
578.57,1,154,7,0,38
1738.51,2,12,14,0,80
454.96,1,40,5,0,64
1926.81,0,127,22,0,56
34.19,1,65,19,0,37
1940.06,0,84,1,0,68
95.89,0,224,14,0,15
1783.37,1,23,19,0,75
1060.13,0,43,11,0,51
1986.0,0,105,2,0,64
156.86,0,97,9,0,20
1112.17,1,59,13,1,69
1938.91,1,8,21,0,88
1050.96,0,129,13,0,38
1262.5,1,55,2,0,77
1394.54,0,157,0,0,43
914.54,0,21,19,0,46
1258.84,1,237,0,0,62
1172.79,1,202,1,0,57
1803.3,2,234,18,0,75
100.44,0,80,23,0,45
569.12,1,99,9,0,36
1901.32,1,12,3,0,91
1781.62,2,70,3,0,96
916.76,0,15,12,1,59
1244.06,1,224,8,1,62
561.99,0,44,6,1,67
384.36,0,64,15,1,45
932.76,0,138,17,0,32
713.17,0,69,2,1,73
1171.48,0,147,19,0,32
164.69,2,98,19,0,41
1949.05,0,235,9,0,44
1972.56,1,190,23,0,72
1399.34,0,100,21,1,65
1076.83,0,104,15,0,39
625.96,0,217,2,0,37
1629.45,0,139,10,0,42
1372.62,0,189,9,0,33
333.61,0,93,15,0,30
1822.75,0,219,7,1,54
1646.85,0,218,8,0,42
1900.1,0,41,14,0,67
1454.18,0,82,20,0,43
1230.7,0,196,2,0,47
842.3,2,185,3,0,66
1866.13,2,132,12,0,66
1733.47,1,104,11,0,57
99.99,0,154,20,0,8
62.47,1,27,8,0,46
759.16,1,25,13,0,60
1623.0,1,218,18,0,51
1974.68,0,115,6,0,73
309.33,1,48,15,1,66
1192.32,1,233,21,0,47
767.97,0,148,19,0,22
1940.13,1,0,4,0,99
1685.82,0,91,9,0,53
1678.27,0,239,17,0,43
942.7,0,57,10,0,45
835.49,1,78,6,0,65
554.08,0,182,13,0,17
122.19,0,80,19,0,18
1730.8,0,25,17,0,63
1627.67,0,211,10,0,32
1999.44,0,152,21,1,59
1993.31,1,76,11,0,70
1115.31,1,160,17,1,60
1540.28,0,216,1,0,56
1890.08,0,71,22,0,76
1700.8,0,68,0,0,71
502.22,2,5,22,0,79
906.58,0,22,9,0,47
267.03,0,157,20,0,11
1908.56,0,205,0,0,55
1216.29,1,53,5,0,79
465.0,2,86,6,0,64
1346.68,1,10,16,0,70
1240.08,1,158,8,1,57
722.74,0,133,6,0,43
235.98,0,10,16,0,36
1346.43,0,76,2,0,52
1045.41,0,11,15,0,57
1546.91,0,193,4,0,56
1045.13,0,52,19,0,36
1705.84,0,98,17,0,51
1108.29,2,35,0,0,94
1126.27,1,144,3,0,59
1754.54,1,27,22,0,91
812.93,1,219,10,1,52
276.69,0,149,19,0,17
67.28,1,101,8,0,38
1512.72,0,6,7,0,55
1244.42,1,14,7,1,81
1411.12,0,223,4,0,50
433.8,2,138,11,0,45
281.38,0,23,0,1,67
38.94,0,194,14,0,9
707.67,2,29,17,0,64
1183.94,0,197,5,0,49
790.57,1,65,9,0,48
880.58,1,60,13,1,68
1809.28,1,77,20,0,68
703.03,2,40,7,0,67
1032.84,2,81,2,0,78
1569.47,0,50,21,0,57
799.12,1,171,21,0,43
1247.95,1,94,18,0,53
1726.1,1,12,11,1,94
1899.55,0,89,11,0,54
302.68,1,235,14,0,28
1853.91,2,139,6,0,76
989.31,2,81,3,0,80
523.91,0,8,20,0,44
923.68,0,212,8,0,30
1960.26,0,47,21,0,60
990.31,1,48,15,0,56
664.22,1,52,12,0,49
1270.47,0,183,3,1,50
487.89,0,39,23,0,50
160.97,0,106,8,0,31
266.47,0,23,20,0,40
264.81,2,225,17,0,35
312.29,1,199,14,0,28
286.27,0,107,14,0,20
1285.34,0,32,5,1,87
371.94,0,22,10,0,46
697.88,2,76,7,0,59
1794.61,0,53,20,0,58
953.18,0,52,16,0,45
1338.44,0,48,23,0,65
352.92,1,205,16,0,32
392.66,1,77,23,1,74
91.33,1,79,17,1,55
346.18,0,176,3,0,23
564.39,0,101,14,0,26
362.25,0,121,1,0,31
186.52,1,187,1,1,61
250.07,0,102,9,0,19
926.95,0,89,2,0,45
420.6,2,89,7,0,45
734.9,2,192,19,0,49
1011.8,0,159,6,0,38
1383.89,0,120,11,1,53
88.23,0,206,18,1,32
1600.83,1,148,14,0,54
1259.52,1,145,13,0,45
172.7,0,221,15,1,23
1748.42,0,59,13,0,57
1842.54,1,121,2,0,76
131.55,2,140,17,0,41
560.99,0,151,21,1,25
1614.34,0,29,5,0,77
1499.04,0,129,16,0,32
377.2,0,82,22,1,55
426.61,2,110,13,0,54
747.24,1,107,13,1,51
974.2,1,110,19,0,48
1240.33,0,24,12,0,51
744.14,1,49,2,0,69
930.44,0,13,12,0,50
1497.47,0,133,23,0,54
83.0,0,75,1,1,48
512.35,0,83,8,0,30
1429.57,1,86,12,1,75
1791.46,0,157,7,0,41
1028.24,0,29,15,0,56
1068.91,0,165,23,0,49
223.27,0,57,2,0,51
900.35,0,93,12,0,36
1069.91,0,40,3,1,84
492.52,1,93,17,0,39
545.79,0,56,1,0,48
760.8,0,163,19,0,20
49.94,0,63,21,0,23
650.94,1,97,20,0,45
430.78,0,15,14,0,40
661.72,0,87,16,0,33
248.33,0,77,9,0,33
1782.15,0,89,0,0,60
1191.25,0,71,5,0,54
1361.41,1,13,2,0,76
1580.45,1,30,18,1,84
1001.9,0,65,6,0,54
182.97,1,111,12,0,31
1078.84,1,67,12,0,53
1177.81,0,192,16,1,45
1493.42,0,54,0,0,65
869.0,0,211,13,0,21
263.88,0,122,2,0,34
574.71,1,205,13,0,32
732.53,2,167,23,0,67
1295.38,2,152,0,0,72
1145.85,1,24,15,0,64
718.63,0,130,9,0,26
1973.17,0,68,12,0,50
1215.49,1,101,3,0,74
482.08,0,117,8,0,27
212.55,1,25,13,1,61
314.19,1,39,3,0,59
499.46,1,37,9,1,63
329.76,1,165,7,0,25
381.27,0,195,22,1,39
577.34,1,6,2,0,68
355.01,2,221,22,0,45
1794.56,0,157,6,0,54
169.67,1,119,9,0,32
1053.78,0,146,2,0,49
826.69,2,230,1,0,68
1964.93,0,34,14,0,60
232.96,0,231,8,0,13
801.73,0,160,14,0,28
1939.25,1,160,16,0,57
1732.36,0,77,6,0,68
1635.97,0,37,19,0,55
523.23,0,137,17,1,36
350.07,2,184,14,0,41
1340.6,0,27,17,0,52
1859.46,0,205,23,1,76
1117.96,1,99,22,0,64
1147.51,0,37,11,0,49
567.16,2,143,22,1,83
1541.29,0,123,20,0,42
382.22,1,148,7,0,28
654.12,0,91,1,1,62
856.62,0,96,1,1,73
1020.14,1,5,4,0,82
492.4,0,168,0,0,36
238.53,1,126,21,0,33
1225.13,0,14,3,0,70
584.37,0,107,5,0,42
1166.66,0,130,22,0,44
317.18,2,42,12,1,75
967.47,0,46,18,1,54
1069.85,0,98,10,0,36
113.13,0,13,12,0,42
679.84,0,193,7,0,21
277.49,0,156,6,0,26
136.12,2,131,12,0,41
1980.02,0,153,0,0,57
651.48,2,114,5,0,67
1621.65,0,139,6,1,65
516.73,1,1,15,0,61
1366.19,2,144,14,0,60
1522.85,0,34,19,0,51
1195.32,2,9,1,0,95
948.44,0,111,22,1,70
829.56,2,213,15,0,46
704.25,1,232,16,0,40
1859.76,0,170,23,0,59
1662.93,0,20,14,0,62
1930.4,0,14,2,1,100
257.35,0,162,3,0,28
1464.43,0,111,11,0,42
1877.3,0,125,4,0,62
370.65,0,84,16,0,24
142.33,1,84,5,0,55
1484.83,0,212,9,0,34
1153.2,0,187,21,0,37
1685.24,1,171,17,1,67
288.15,0,223,9,0,9
1592.58,0,4,5,0,81
411.24,0,230,23,1,44
335.68,2,200,5,0,51
336.89,1,116,19,0,38
1631.0,0,145,14,0,44
1333.74,1,148,3,0,66
1050.9,0,71,15,0,39
724.07,1,235,21,0,38
1755.63,1,225,23,0,69
790.97,1,73,7,0,58
1635.03,0,50,6,0,68
883.88,0,168,18,0,25
760.12,0,23,16,0,45
930.73,2,231,20,0,46
609.74,0,151,12,0,19
1497.74,1,223,14,0,50
1010.41,2,224,1,0,73
472.1,0,37,9,0,37
1800.15,1,43,12,1,87
773.94,1,184,17,0,37
1091.67,2,186,22,0,68
1813.88,2,161,10,0,66
1252.23,1,74,12,0,63
242.63,0,94,18,0,27
1880.27,1,209,23,1,83
1259.14,0,22,23,1,87
676.46,1,123,21,0,44
287.15,2,85,4,0,65
1590.11,0,42,2,0,64
1243.94,1,209,18,0,47
1071.59,0,39,22,0,60
1788.85,0,46,12,1,75
1579.31,0,168,4,1,70
311.83,1,174,11,1,50
630.33,2,230,13,0,41
504.49,2,19,5,0,89
1490.45,0,204,21,0,39
76.73,2,108,8,0,46
1144.08,1,192,16,0,52
1527.29,0,67,7,0,51
1754.76,0,23,12,0,66
690.74,0,227,4,0,37
1644.3,2,35,21,0,86
230.16,1,44,21,1,66
1694.44,1,129,16,0,62
263.7,0,27,2,0,44
800.6,1,153,5,0,52
1596.62,0,22,13,0,63
308.34,0,206,14,0,17
466.21,1,163,13,0,32
1447.28,0,90,10,0,47
1442.87,1,133,10,0,48
1285.88,0,162,8,1,50
1390.96,1,102,5,1,88
1090.02,0,37,14,0,48
511.08,0,162,11,0,18
697.94,0,227,5,1,53
371.38,0,201,0,0,30
1817.82,2,93,15,0,75
1170.95,0,52,19,1,68
807.69,1,232,14,0,32
929.39,2,37,1,1,93
1895.09,0,220,16,0,46
315.17,0,186,2,0,25
1176.6,1,42,2,1,85
1016.72,2,102,4,0,79
1226.79,2,113,16,0,67
46.04,0,3,22,0,45
1745.53,1,4,16,1,87
1864.92,0,67,19,0,51
1134.62,2,227,5,0,67
1396.34,2,122,0,0,86
1845.77,0,172,6,0,55
1417.4,0,79,14,0,49
313.55,0,152,6,0,33
1156.81,0,205,18,1,50
1217.36,1,10,19,0,67
854.02,0,156,21,0,24
1475.52,0,161,10,0,34
1869.39,0,213,22,1,74
1851.88,2,141,13,0,73
907.17,1,119,12,0,54
235.34,0,151,19,1,27
1969.83,0,186,8,0,45
1679.41,2,166,8,0,67
258.08,1,25,15,0,52
1842.48,0,170,11,0,49
1741.09,0,35,9,0,59
1042.49,0,166,5,1,56
1186.64,0,188,17,1,51
804.02,0,143,1,0,41
118.98,2,121,19,0,44
677.04,0,229,8,0,21
1607.68,1,58,18,0,72
19.22,0,95,5,0,31
673.66,1,5,1,1,89
802.36,1,97,14,0,37
1079.42,0,55,16,0,42
1840.51,0,135,15,0,48
699.23,1,93,20,0,46
700.44,0,26,7,0,39
1477.63,0,198,9,0,41
909.91,0,154,9,0,26
456.96,2,216,17,0,49
910.35,0,119,9,0,34
290.31,1,173,8,0,30
361.01,0,168,23,1,53
1001.75,1,206,18,1,56
843.66,0,24,0,0,56
1830.54,2,85,3,0,99
731.16,0,145,23,1,56
1165.37,1,11,2,0,89
1268.21,1,86,9,0,61
36.06,0,178,11,0,17
1330.44,0,108,17,0,38
364.29,0,166,22,0,30
1922.53,0,88,19,0,53
305.84,2,9,5,1,93
835.1,0,221,20,0,18
179.85,0,73,1,0,41
1993.78,1,225,9,1,78
1009.37,0,237,1,0,39
1194.82,0,76,8,1,54
143.48,0,53,9,1,43
1502.42,2,156,1,0,79
427.71,2,101,7,1,61
1797.13,2,168,23,0,90
418.23,0,236,16,0,12
389.47,1,136,16,0,31
82.73,0,190,3,0,30
949.41,0,204,17,1,45
1134.03,0,164,11,0,33
140.76,0,141,16,0,11
1553.3,0,100,8,0,43
912.04,0,72,18,0,35
1053.54,0,71,13,0,40
887.12,0,166,13,0,27
807.52,1,167,16,1,50
1123.68,0,53,1,0,53
318.93,1,2,7,0,59
372.04,0,182,4,0,30
1724.95,1,110,6,0,79
1892.77,0,231,21,0,41
752.89,0,160,15,0,25
548.78,0,95,15,0,38
1291.56,1,70,16,0,56
823.38,1,18,21,0,58
60.52,0,33,6,0,41
320.74,0,205,19,0,24
1434.78,2,49,7,0,76
1321.26,1,174,7,0,51
63.92,0,45,22,1,48
451.72,0,183,10,0,19
469.84,0,184,14,0,16
1347.07,1,82,17,0,65
49.22,0,50,5,0,45
217.18,2,53,21,0,53
1601.83,0,89,11,1,69
365.3,0,80,14,1,49
1308.96,0,117,22,1,74
483.98,2,155,5,1,76
207.89,1,18,17,0,49
493.91,0,26,23,0,55
1447.31,1,175,19,0,48
1712.84,0,146,8,1,56
1662.14,0,224,7,0,36
800.4,0,178,13,0,23
1339.49,0,6,18,0,66
417.92,0,156,18,1,33
593.36,2,170,7,0,43
1793.71,0,68,1,0,65
35.87,2,93,3,1,74
180.16,0,112,5,0,37
423.69,1,106,2,1,70
62.8,0,119,2,0,31
371.06,0,185,18,0,18
1170.25,0,135,10,1,49
848.63,0,169,9,0,27
1786.42,1,203,11,0,59
1636.71,0,41,13,0,56
690.22,1,12,17,0,59
526.25,0,153,23,0,34
765.59,0,17,8,0,47
1184.69,0,41,14,0,53
543.45,2,50,23,1,89
1252.06,1,112,2,0,67
824.73,0,211,22,0,36
1108.57,0,143,10,0,24
877.89,0,100,9,0,28
595.99,2,2,17,1,81
1897.42,1,218,3,0,70
1529.58,0,78,12,1,65
288.83,0,97,5,0,34
1738.25,0,172,20,0,40
979.99,2,149,12,0,55
1790.16,0,231,19,0,38
1601.71,1,22,4,0,87
856.17,0,58,19,0,35
54.71,1,189,13,0,22
544.67,1,112,12,1,61
1087.85,1,67,13,0,59
1270.62,1,53,7,0,72
523.2,2,56,15,0,56
287.32,0,232,12,0,21
1671.51,0,150,23,1,66
1968.96,0,110,14,0,49
1056.12,2,59,18,0,79
351.64,0,72,0,0,40
551.89,1,215,21,0,41
46.6,1,212,1,0,40
1829.45,0,232,17,0,37
244.32,0,237,18,1,23
1157.27,0,54,7,0,46
555.37,0,116,2,0,35
1112.81,0,207,22,0,43
1306.33,0,62,13,0,39
1661.19,2,183,8,1,80
420.78,2,54,7,1,67
31.88,0,24,16,0,31
282.4,0,25,22,0,45
1801.04,0,176,22,0,61
1749.04,1,62,23,0,76
1198.85,1,172,15,0,44
1205.03,0,72,9,1,61
1333.42,0,78,20,0,46
358.99,1,166,9,0,26
1829.68,1,224,23,1,80
843.35,0,64,5,0,57
772.45,1,68,21,1,66
1042.65,0,183,16,0,23
103.46,0,8,15,1,53
340.9,1,235,14,0,28
1478.69,1,197,21,0,48
